dgbas_id,name
1000103-004,仁和里
1000103-005,中正里
1000103-006,建和里
1000103-007,連和里
1000103-008,連城里
1000103-009,力行里
1000103-010,枋寮里
1000103-011,漳和里
1000103-012,廟美里
1000103-013,福真里
1000103-014,福善里
1000103-015,福美里
1000103-016,福祥里
1000103-017,瓦磘里
1000103-018,福和里
1000103-019,佳和里
1000103-020,安樂里
1000103-021,安和里
1000103-022,安平里
1000103-023,中安里
1000103-024,泰安里
1000103-025,新南里
1000103-026,南山里
1000103-027,秀山里
1000103-028,秀成里
1000103-029,秀福里
1000103-030,秀景里
1000103-031,秀明里
1000103-032,秀峰里
1000103-033,秀仁里
1000103-034,頂南里
1000103-035,華新里
1000103-036,東南里
1000103-037,華南里
1000103-038,忠孝里
1000103-039,崇南里
1000103-040,景南里
1000103-041,橫路里
1000103-042,內南里
1000103-043,壽南里
1000103-044,外南里
1000103-045,復興里
1000103-046,和興里
1000103-047,景平里
1000103-048,景新里
1000103-049,景福里
1000103-050,景安里
1000103-051,景文里
1000103-052,錦和里
1000103-053,錦昌里
1000103-054,灰磘里
1000103-055,積穗里
1000103-056,民享里
1000103-057,員山里
1000103-058,嘉穗里
1000103-059,文元里
1000103-060,嘉新里
1000103-061,民安里
1000103-062,安穗里
1000103-063,瑞穗里
1000103-064,明穗里
1000103-065,清穗里
1000103-066,自強里
1000103-067,德穗里
1000103-068,民生里
1000103-069,國光里
1000103-070,壽德里
1000103-071,明德里
1000103-072,秀水里
1000103-073,德行里
1000103-074,宜安里
1000103-075,安順里
1000103-076,秀義里
1000103-077,秀士里
1000103-078,興南里
1000103-079,景本里
1000103-080,福南里
1000103-081,中興里
1000103-082,吉興里
1000103-083,中山里
1000103-084,碧河里
1000103-085,錦中里
1000103-086,錦盛里
1000103-087,民有里
1000103-088,員富里
1000103-089,嘉慶里
1000103-090,冠穗里
1000103-091,國華里
1000103-092,正南里
1000103-093,正行里
1000104-001,福林里
1000104-002,文化里
1000104-003,豫溪里
1000104-004,光明里
1000104-005,仁愛里
1000104-006,永貞里
1000104-007,永福里
1000104-008,民治里
1000104-009,永成里
1000104-010,忠義里
1000104-011,永元里
1000104-012,秀林里
1000104-013,保安里
1000104-014,中溪里
1000104-015,永安里
1000104-016,民族里
1000104-017,民權里
1000104-018,中興里
1000104-019,勵行里
1000104-020,秀朗里
1000104-021,秀成里
1000104-022,上溪里
1000104-023,竹林里
1000104-024,雙和里
1000104-025,安和里
1000104-026,水源里
1000104-027,協和里
1000104-028,河堤里
1000104-029,頂溪里
1000104-030,潭墘里
1000104-031,潭安里
1000104-032,大新里
1000104-033,保平里
1000104-034,民本里
1000104-035,民樂里
1000104-036,光復里
1000104-037,復興里
1000104-038,福和里
1000104-039,得和里
1000104-040,智光里
1000104-041,新生里
1000104-042,大同里
1000104-043,前溪里
1000104-044,和平里
1000104-045,新廍里
1000104-046,下溪里
1000104-047,秀和里
1000104-048,河濱里
1000104-049,民生里
1000104-050,秀得里
1000104-051,上林里
1000104-052,網溪里
1000104-053,正興里
1000104-054,永興里
1000104-055,桂林里
1000104-056,店街里
1000104-057,信義里
1000104-058,後溪里
1000104-059,民富里
1000104-060,秀元里
1000104-061,永樂里
1000104-062,保順里
1000105-001,海山里
1000105-002,頭前里
1000105-003,國泰里
1000203-015,永光里
1000105-004,全安里
1000105-005,福基里
1000105-006,豐年里
1000105-007,忠孝里
1000105-008,恆安里
1000105-009,後港里
1000105-010,文衡里
1000105-011,中美里
1000105-012,八德里
1000105-013,興漢里
1000105-014,中和里
1000105-015,西盛里
1000105-016,榮和里
1000105-017,中泰里
1000105-018,瓊林里
1000105-019,文德里
1000105-020,中誠里
1000105-021,裕民里
1000105-022,文明里
1000105-023,中港里
1000105-024,富國里
1000105-025,思源里
1000105-026,立人里
1000105-027,南港里
1000105-028,仁愛里
1000105-029,立德里
1000105-031,信義里
1000105-032,立言里
1000105-033,民安里
1000105-034,和平里
1000105-035,立功里
1000105-036,民本里
1000105-037,化成里
1000105-038,立志里
1000105-039,光華里
1000105-040,思賢里
1000105-041,營盤里
1000105-042,光榮里
1000105-043,自強里
1000105-044,丹鳳里
1000105-045,光明里
1000105-046,自立里
1000105-047,合鳳里
1000105-048,幸福里
1000105-049,雙鳳里
1000105-050,自信里
1000105-051,龍鳳里
1000105-052,中華里
1000105-053,中隆里
1000105-054,中原里
1000105-055,中信里
1000105-056,四維里
1000105-057,建福里
1000105-058,中宏里
1000105-059,中全里
1000105-060,立泰里
1000105-061,全泰里
1000105-062,仁義里
1000105-063,立基里
1000105-064,昌明里
1000105-065,昌平里
1000105-066,文聖里
1000105-067,萬安里
1000105-068,龍安里
1000105-069,福營里
